	texto	texto_modificado
17	"8	los sueldos deberían alcanzar a lo menos para satisfacer sin ningún inconveniente y de forma mensual las necesidades de las personas.sin que tengan que endeudarse para poder conseguirlos"	sueldo alcanzar menos satisfacer ninguno inconveniente forma mensual necesidad persona  endeudar conseguir
18	"9	""demora en interconsulta."	demora interconsulta
19	falta traslado para acceder a la posta o traslado en general	faltar traslado acceder posta traslado general
20	"darle prioridad a adultos mayores. toma de exámenes."""	dar prioridad adulto mayor  tomar exámen
21	"10	""disminuir listas de espera"	disminuir lista espera
22	"aumentar recursos sectores rurales y exigencia a los medicos para participar del servicio publico"""	aumentar recurso sector rural exigencia medico participar servicio público
23	"11	incertidumbre ante una enfermedad repentina o catastrófica de no poder tener los recursos para hacer frente ella"	incertidumbre enfermedad repentino catastrófico recurso frente
24	"12	es necesario una nueva constitución que tenga relación con la actualidad sociopolítica y cultural del país."	necesario nuevo constitución relación actualidad sociopolítica cultural país
25	"13	-mejorar la calidad de la educación el nivel de profesionales que de desempeñen en la educación este correcto"	mejorar calidad educación nivel profesional desempeñar educación correcto
26	"14	es urgente que se mejore la salud a nivel público y privado. menos espera, bajar los costos, mayor acceso"	urgente mejorar salud nivel público privado  menos esperar  bajar costo  mayor acceso
27	"15	""- los cursos son de muchos alumnos, lo que dificulta entregar educ. de calidad."	curso alumno  dificultar entregar educ calidad
28	"- universidad muy cara"""	universidad cara
29	"16	""- deberia ser prioridad y no hay mejoras en el sistema público con más especialistas"	prioridad mejora sistema público especialista
30	"- más centros médicos, menos espera de atención"""	centro médico  menos esperar atención
31	"17	""ya que existe falta de especialistas con experiencia que atiendan patologías en zona."	existir falta especialista experiencia atender patología zona
32	"aumentar recursos destinados a nuestra realidad."""	aumentar recurso destinado realidad
33	"18	las políticas públicas deben diseñarse y aplicarse teniendo como principio rector y transversal el valor de la igualdad"	política público diseñar aplicar principio rector transversal valor igualdad
34	"19	mejorar la atencion en salud implementando y creando nuevos hospitales y mayormente dotar con médicos especialistas. oportuna atención a los enfermos."	mejorar atención salud implementar crear nuevo hospital mayormente dotar médico especialista  oportuno atención enfermo
35	"20	-falta que se mejore la malla curricular a nivel escolar.que le agreguen  materias que potencien la inteligencia emocional."	faltar mejorar malla curricular nivel escolar que agregar materia potenciar inteligencia emocional
36	"21	por que el acceso  a la salud es muy malo, hay que esperar años para una hora medica."	acceso salud malo  esperar año hora medico
37	"22	como estudiante del área de la salud, veo cada día las necesidades de la gente y como el hospital no da abasto, pues no hay recursos ni profesionales."	estudiante área salud  ver cada día necesidad gente hospital dar abasto  pues recurso profesional
38	"23	""- no existe el respeto hacia las personas."	existir respeto hacia persona
39	- nadie respeta, los adultos mayores.	nadie respetar  adulto mayor
40	"- niños, mujeres."""	niño  mujer
41	"24	""- a mayor demanda más caro el agua."	mayor demanda caro agua
42	"- m.ambiente más protegido y por la constitución. escala de derecho. nuestra vida depende de ello"""	mambiente protegido constitución  escala derecho  vida depender
43	"25	""que el ministro de la cartera sea una persona idonea"	ministro cartera persona idoneo
44	"en general que se cumpla lo siguiente; garantias, oportunidad, acceso, cobertura"""	general cumplir siguiente  garantia  oportunidad  acceso  cobertura
45	"26	""- falta vocación de servicio en las instituciones publicas"	faltar vocación servicio institución publico
46	- aumentar gasto publico en salud y mejorar la administración del dinero	aumentar gasto público salud mejorar administración dinero
47	- modificar codigo sanitario	modificar codigo sanitario
48	- el auge se extienda a otras patologías	auge extendar patología
49	tomar mayor con	tomar mayor
50	"- mejorar difusión de talleres preventivos"""	mejorar difusión taller preventivo
51	"27	""-no encuentran atención y mala calidad"	no encontrar atención malo calidad
52	-muchas listas de espera en salud publica.	mucho lista espera salud publicar
53	"-por el estallido social, no lograban encontrar horas (por paros)."""	por estallido social  lograr encontrar hora  paro
54	"28	el estado debe velar por potenciar desde sus instituciones el apoyo a organizaciones con discapacidad tales como organizaciones sociales y deportivas que le presten asesoría a postulación de fondos públicos entre otros."	estado velar potenciar institución apoyo organización discapacidad tal organización social deportivo prestir asesoría postulación fondo público
55	"29	""- Mayor trabajo en zonas rurales como en ferrocarriles, antiyareta"	mayor trabajo zona rural ferrocarril  antiyareta
56	- trabajo de calidad y dignos para las personas, tambien trabajos en zonas rurales para que los jovenes regresen a la provincia	trabajo calidad digno persona  trabajo zona rural joven regresar provincia
57	"- Restringir y fiscalizar trabajos a extranjeros"""	restringir fiscalizar trabajo extranjero
58	"30	""nivel institucional politicos"	nivel institucional politico
59	pptos se utilizan para el fm social	ppto utilizar fm social
60	"con animo de justicia justifican robo de cuello y corbata."""	animo justicia justificar robo cuello corbata
61	"31	""- mala atención en los hospitales, urgencias."	malo atención hospital  urgencia
62	- falta de horas médicas.	falta hora médico
63	"- acceso a medicamentos (enfermos crónicos)"""	acceso medicamento  enfermo crónico
64	"32	posterior a los 18 años existan mayores oportunidades para las psd, como talleres y ofertas laborales."	posterior  año existir mayor oportunidad psd  taller oferta laboral
65	"33	""- no hay suficientes médicos para atender, por lo que se debe optar por atención particular."	suficiente médico atender  optar atención particular
66	"- no tienen suficientes medicamentos."""	suficiente medicamento
67	"34	reformar el sistema de salud pública, entregando un acceso universal, mejorar las listas de espera, ampliar la especialización de profesionales, aborto legal, libre, público y seguro. no a la objeción de conciencia en el sistema salud pública"	reformar sistema salud público  entregar acceso universal  mejorar lista espera  ampliar especialización profesional  aborto legal  libre  público seguro  objeción conciencia sistema salud público
68	"35	""mala atención, no hay especialistas."	malo atención  especialista
69	"mucha espera para las operaciones, no hay remedios, entregan pocas horas al día."""	espera operación  remedio  entregar hora día
70	"36	""pensión para la vejez"	pensión vejez
71	-subcidio para la personas que vivimos en la comuna general lagos	subcidio persona vivir comuna general lago
72	"-vivienda adecuada a nuestra zona"""	vivienda adecuado zona
73	"37	""-mas especialistas en la zona de arica y parinacota."	mas especialista zona arica parinacota
74	-incorporar más enfermedades en el auge (leucemia).	incorporar enfermedad auge  leucemia
75	"-necesitamos cefam en zona rurales."""	necer cefam zona rural
76	"38	Pedimos mejorar los sueldos de todas las personas que cobren el sueldo mínimo, que esto sea sobre los 500.000 pesos, también mejorar los contratos de trabajo."	pedir mejorar sueldo persona cobrar sueldo mínimo   peso  mejorar contrato trabajo
77	"39	que se genere igualdad frente a los sueldos. existe mucha diferencia entre lo que ganan los politicos y el sueldo minimo"	generar igualdad frente sueldo  existir diferencia ganar politico sueldo mínimo
78	"40	""-gratuidad de la educacion"	gratuidad educación
79	-acceso a la educacion sin restriccion ni evaluacion	acceso educación restriccion evaluación
80	"-bajar los años de educación"""	bajar año educación
81	"41	""la salud publica necesita mejorar"	salud publica necesitar mejorar
82	debe ser de calidad	calidad
83	"el estado debe garantizar la gratuidad para toda la poblacion"""	estado garantizar gratuidad población
84	"42	El sistema de salud publico es de bajo calidad. No hay medicamentos, hay listas de espera y la atención a los adultos mayores es muy deficiente."	sistema salud público bajo calidad  medicamento  lista espera atención adulto mayor deficiente
85	"43	""en el acceso a la educación."	acceso educación
86	en el acceso a la salud.	acceso salud
87	"en el acceso a la justicia."""	acceso justicia
88	"44	""para la juventud"	juventud
89	"para los adultos mayores se ven obligados a seguir trabajando luego de jubilar porque las pensiones son muy bajas"""	adulto mayor ver obligado seguir trabajar luego jubilar pensión baja
90	"45	""hay mucha desigualdad y mucha"	desigualdad
91	injusticia en el país.	injusticia país
92	igualdad en la educación, salud y	igualdad educación  salud
93	"pensiones. se necesita equidad para tener una sociedad mas justa"""	pensión  necesitar equidad sociedad justo
94	"46	""las listas de espera son interminables."	lista espera interminable
95	"la salud pública no es de calidad y eso debe cambiar de forma urgente. """	salud público calidad cambiar forma urgente
96	"47	""pensiones dignas"	pensión digno
97	"el sistema de pensiones debe mejorarse y hacer un profundo cobro para lugar y tener pensiones dignas"""	sistema pensión mejorar profundo cobro lugar pensión digno
98	"48	""-mejorar la atención pública en calidad y rapidez"	mejorar atención público calidad rapidez
99	-reducción tiempo de espera a atención	reducción tiempo espera atención
100	"-mejorar los programas actualizandolos"""	mejorar programa actualizar
101	"49	procesos burocráticos tendidas, obstaculizadores que impiden cumplir los objetivos de trabajo ayudar a las familias y contribuir al país"	proceso burocrático tendido  obstaculizador impedir cumplir objetivo trabajo ayudar familia contribuir país
102	"50	""falta de trabajo, es un miedo latente ya que cuando se jefe o jefa de hogar es una incertidumbre persistente."	falta trabajo  miedo latente jefe jefa hogar incertidumbre persistente
103	la poca intervención de capital en la región para generar trabajo es inquietante.	intervención capital región generar trabajo inquietante
105	"51	a la gente le falta más educación y que sea de calidad asi evitarian la formación de delincuentes."	gente faltar educación calidad así evitar formación delincuente
106	"52	flta poner más orden en las calles, para poder andar más seguros, todos los delincuentes hacen lo que quieren porque nadie les dice nada."	flta poner orden calle  andar seguro  delincuente querer nadie decir
107	"53	debe existir la necesidad de cambiar de un modo inteligente, para que se den las mismas oportunidades para todos . • en definitiva, deben existir las mismas oportunidades en educación, salud, pensiones, trabajo -legislación laboral-, cultura, entre otras."	existir necesidad cambiar modo inteligente  dar mismo oportunidad  • definitiva  existir mismo oportunidad educación  salud  pensión  trabajo legislación laboral  cultura
108	"54	""Se debe mejorar el sistema de salud para beneficio de todos."	mejorar sistema salud beneficio
109	"No debe ocurrir que los que tengan más ingresos económicos puedan acceder a un mejor sistema de salud, y las personas de escasos recursos o pobre no puedan obtener una salud de calidad. """	ocurrir ingreso económico acceder mejor sistema salud  persona escaso recurso pobre obtener salud calidad
110	"55	""- no deberian las personas asumir las perdidas"	persona asumir perdido
111	"- las personas podrian poder retirar parte de su dinero """	persona retirar parte dinero
112	"56	""1) Las personas / empresas entienden que es un conjunto y debemos trabajar por ello."	persona  empresa entender conjunto trabajar
113	2)-Asegurar el trabajo	asegurar trabajo
114	-Condiciones laborales mejores	condiciones laboral mejor
116	"57	los participantes señalan que las políticas publicas muchas veces no se adaptan a la realidad regional y no reflejan donde se deben orientar los esfuerzos para mejorar la situación actual en este caso del mundo deporte, por ejemplo no existe ninguna ayuda formal a los deportes outdoor."	participante señalar política publico vez adaptar realidad regional reflejar orientar esfuerzo mejorar situación actual caso mundo deporte  ejemplo existir ninguno ayuda formal deporte outdoor
117	"58	es lo mas importante rehacer el sistema publico de atención hoy es un desastre y los tiempos de espera son indignos"	importante rehacer sistema público atención hoy desastre tiempo espera indigno
118	"59	todo producto o servicios suben de valor y cada vez cuesta más llegar a fin de mes con el sueldo mínimo."	producto servicio subir valor cada vez costar llegar fin mes sueldo mínimo
119	"60	hoy necesitamos mejorar educación (becas), pero en salud el sistema es más precario y/o desigual, entendiendo que hay listas de espera y la salud pública es más precaria que la privada."	hoy necesitar mejorar educación  beca   salud sistema precario yo desigual  entender lista espera salud público precario privado
120	"61	""- larga espera en la salud publica."	largo espera salud publicar
121	"- falta de recintos hospitalarios que se encuentren totalmente equipados"""	falta recinto hospitalario encontrar totalmente equipado
122	"62	*Lamentablemente el sistema judicial no juzga a todos por igual. en familias de clase alta todo ocurre por caso fortuito, versus, las de escasos recursos donde todo ocurre por culpa de ellos."	lamentablemente sistema judicial juzgar igual  familia clase alto ocurrir caso fortuito  versus  escaso recurso ocurrir culpa
123	"63	que vuelva el estado a administrar el agua del país garantizando este derecho basico para la ciudadanía, no mas privatización."	volver estado administrar agua país garantizar derecho basico ciudadanía  privatización
124	"64	Con un real cambio en la educación desde la preescolar se solucionaran en el país las problemáticas y se podrá enfrentar la automatización de la mejor manera."	real cambio educación preescolar solucionar país problemático enfrentar automatización mejor manera
125	"65	""-porque el foco en la persona, en municipios, valores, tener mas oportunidades."	porque foco persona  municipio  valor  oportunidad
126	"pilar fundamental , ser mejor persona."""	pilar fundamental  mejor persona
127	"66	""la salud en el pais no es garante de nada"	salud país garante
128	"se necesitan profesionales que esten dispuesto a trabajar en la salud publica y sean comprometidos """	necesitar profesional dispuesto trabajar salud publica comprometido
129	"67	""-porque la afp no los nuestra plata"	porque afp plata
130	-hay desigualdad en la riqueza	haer desigualdad riqueza
131	-mala información en las afp	malo información afp
132	"-pensiones insuficientes"""	pensión insuficiente
133	"68	""-ambulancia a tiempo"	ambulancia tiempo
134	-mas procecionales en consultorios y hospitales	mas procecional consultorio hospital
135	-mas horas disponibles	mas hora disponible
136	-atencion rapida	atención rapido
137	"-medicamentos a dispocicion de la demanda"""	medicamento dispocicion demanda
138	"69	Hospital colapsado, tiempo de espera larguísimo  , falta de profesionales y especialistas, abastecimiento bajo de remedios"	hospital colapsado  tiempo espera larguísimo  falta profesional especialista  abastecimiento bajo remedio
139	"70	falta de acceso a la salud publica que la comuna falta de profesionales, poco abastecimiento de remedios."	falta acceso salud publicar comuna faltar profesional  abastecimiento remedio
140	"71	el estado saca de la pobreza a la gente, los acompaña hasta la clase media y ahí los deja abandonados"	estado sacar pobreza gente  acompañar clase medio ahí dejar abandonado
141	"72	hay muy pocos médicos especialistas, pocos insumos y medicamentos. también tardan mucho en las horas medicas."	médico especialista  insumo medicamento  tardar hora medico
142	"73	- es una necesidad que los medicamentos se encuentren en el servicio de salud, algunos no estan disponibles (autismo, artrosis,etc)"	necesidad medicamento encontrar servicio salud  alguno disponible  autismo  artrosis  etcétera
143	"74	mejorar la salud en todo aspecto en atencion e infraestructura que sea de calidad y garantizar"	mejorar salud aspecto atención infraestructura calidad garantizar
144	"75	los participantes, en este punto, están divididos ya que algunos mencionan que parte del problema de la educación también es culpa de las mismas familias que deben dar atención a sus hijos e inculcarle valores a los niños de hoy ya que los que no tienen buena educación de sus familias son niños a lo"	participante  punto  dividido alguno mencionar parte problema educación culpa mismo familia dar atención hijo inculcar valor niño hoy buen educación familia niño
145	"76	-todo el ciclo vital. no mas listas de esperas. que se apoye a los recién egresados, que quedan abandonados y se van al área privada. faltan especialistas y cupos para atención a cirujía. mayor rapidez en derivación de interconsulta."	todo ciclo vital  lista espera  apoyar recién egresado  quedar abandonado área privado  faltar especialista cupo atención cirujía  mayor rapidez derivación interconsulta
146	"77	""Todos pertenecemos al sistema publico de salud."	pertenecer sistema público salud
147	Aunque hemos tenido distinta suerte en una nos ha servido	aunque distinto suerte servir
148	"- se debe mejorar en cuanto se pueda."""	mejorar cuanto
149	"78	""- sistema de pensiones es injusto, se quedan con las ganancias y nosotros perdemos nuestra plata, nuestro trabajo."	sistema pensión injusto  quedar ganancia perder plata  trabajo
150	"- """"con el monto que nos jubilamos los que hemos trabajado toda la vida, es igual a quien recibe una pensión solidaria, entonces no trabajo"""""""	monto jubilar trabajar vida  igual recibir pensión solidario  entonces trabajo
151	"79	""""""sobre la salud pesa toda nuestra vida en todo momento, con una buena salud, un buen sistema no deja morir a su gente por negligencia""""."""	salud pesar vida momento  buen salud  buen sistema dejar morir gente negligencia
152	"80	""somos el país mas caro en educación, no tenemos como surgir por nuestros alcances y metas cumplidos."	país caro educación  surgir alcance meta cumplido
153	"no mas créditos, chile tiene presupuesto"""	crédito  chile presupuesto
154	"81	""que sea para todos, que lleguen especialidades a lugares lejanos."	llegar especialidad lugar lejano
155	"que haya presupuesto para todos los enferme."""	presupuesto enfer
156	"82	faltan viviendas en nuestro país , sobre todo en las ciudades pequeñas, es difícil por que hay mas personas de escasos recursos"	faltar vivienda país  ciudad pequeño  difícil persona escaso recurso
157	"83	""-largas filas de espera."	largo fila espera
158	-mas especialistas para las provincias.	mas especialista provincia
159	"-faltan insumos e ... algunas respuestas con mala letra """	faltar insumo  alguno respuesta malo letra
160	"84	""listas de espera."	lista espera
161	no  hay especialidades para las provincias.	especialidad provincia
162	"falta de insumos y         en todas las especialidades."""	falta insumo especialidad
163	"85	""falta de especialistas, hay que trasladar a la gente a otras regiones."	falta especialista  trasladar gente región
164	"se necesitan casas de acogida. """	necesitar casa acogida
165	"86	""se debe mejorar el sistema de pensiones"	mejorar sistema pensión
166	"se trabaja toda la vida y al jubilar se recibe con pensión miserable."""	trabajar vida jubilar recibir pensión miserable
167	"87	el sistema de pensiones necesita un cambio/reforma que le permita a los chilenos acceder a pensiones dignas."	sistema pensión necesitar cambioreforma permitir chileno acceder pensión digno
168	"88	""es injusto trabajar una vida entera para recibir una pension bajisima"	injusto trabajar vida entero recibir pensión bajisimo
169	"-el estado debe asegurar pensiones dignas"""	el estado asegurar pensión digno
170	"89	los salarios (sueldo mínimo) debe subir, ya que en general no es suficiente para solventar los gastos de un hogar."	salario  sueldo mínimo  subir  general suficiente solventar gasto hogar
171	"90	""deben haber personas dignas para mismos adultos mayores, que son los que sufren las consecuencias del actual sistema de pensiones"	persona digno mismo adulto mayor  sufrir consecuencia actual sistema pensión
172	"-debe haber una reforma profunda."""	eber reforma profundo
173	"91	el principal problema es mejorar la salud para que las personas no tengan que levantarse a las 6 de la mañana a pedir horas."	principal problema mejorar salud persona levantar  mañana pedir hora
174	"92	""- en la salud hayan más especialistas en los hospitales (ej hospital de calbuco)"	salud especialista hospital  ej hospital calbuco
175	- lista de espera, no esperar	lista espera  esperar
176	"- valorar el de pensiones"""	valorar pensión
177	"93	luego de haber trabajado toda una vida, el cuerpo alcanza límites con los que no se puede jugar. el hecho de hacer o tener menos movimiento implica tener gastos muy por el contrario."	luego trabajar vida  cuerpo alcanzar límite jugar  hecho menos movimiento implicar gasto contrario
178	"94	""-hacer mas tranques."	hacer tranque
179	-proteger mas el agua.	proteger agua
180	-fiscalizar mas los repartos del agua.	fiscalizar reparto agua
181	"-mayor acceso al agua."""	mayor acceso agua
182	"95	largas horas pedir número para atención. aumentar la variedad de remedios en las farmacias comunales. mucha diferencia de precio en remedios. abastecimientos de remedios en salud pública."	largo hora pedir número atención  aumentar variedad remedio farmacia comunal  diferencia precio remedio  abastecimiento remedio salud público
183	"96	cobertura de auge, mas amplia extensión de edad. hasta de espera extensos por tratamiento de operación. atención mala calidad. El turno de los médicos gana mala atención"	cobertura auge  amplio extensión edad  espera extenso tratamiento operación  atención malo calidad  turno médico ganar malo atención
184	"97	""-acceso a la educación superior."	acceso educación superior
185	"-mejorar la calidad de la educación, entregar opciones para jóvenes en verano."""	mejorar calidad educación  entregar opción joven verano
186	"98	el reconocimiento esta pendiente por años, no vemos voluntad en que esto sea efectivo. si reconocen muchos  chilenos votaremos rechazo."	reconocimiento pendiente año  ver voluntad efectivo  si reconocer chileno votar rechazo
187	"99	medicamentos muy caros, tiempos de espera de atención excesivos.                                         falla de insumos, mala atención de los profesionales . falta de medicos, los consultorios no dan abasto. mala cobertura, falta de especialistas y no hay continuidad en los tratamientos"	medicamento caro  tiempo espera atención excesivo  falla insumo  malo atención profesional  falta medico  consultorio dar abasto  malo cobertura  falta especialista continuidad tratamiento
188	"100	actualmente no se considera que en terminos de especialidad no se puede mover a una persona a cualquier area de desempeño."	actualmente considerar termino especialidad mover persona cualquiera área desempeño
189	"101	falta una buena planificación ministerial y supervisión a los establecimientos educacionales (jardines, colegios, liceos, ues, cft, ip)"	falta buen planificación ministerial supervisión establecimiento educacional  jardín  colegio  liceo  ues  cft  ip
190	"102	Mayor seguridad y más policías en las calles y mayor resguardo a estos mismos ya que no saben si volverán sanos a sus hogares"	mayor seguridad policía calle mayor resguardo mismo saber si volver sano hogar
191	"103	""-que sea más ediciente, proyección de jubilación sea para 90 años."	que ediciente  proyección jubilación  año
192	-eliminar el lucro	eliminar lucro
193	"-que la pensión sea más representativa respecto al ingreso que tuvo la persona"""	que pensión representativo respecto ingreso persona
194	"104	se demoran mucho en entregar subsidios o casas por comité, y con esto siguen muchas personas viviendo en una casa."	demorar entregar subsidio casa comité  seguir persona vivir casa
195	"105	""-falta especialidades"	falto especialidad
196	-mejorar atencion	mejorar atención
197	-agendar mas horas para adulto mayor	agendar hora adulto mayor
198	-falta medicamento	falto medicamento
199	-eliminar lista de espera	eliminar lista espera
200	"-atención gratuita y de calidad adulto mayor """	atención gratuito calidad adulto mayor
201	"106	""mejorar la calidad de atención."	mejorar calidad atención
202	mas especialistas.	especialista
203	aumentar la cobertura en areas rurales .	aumentar cobertura area rural
204	hospital freirina.	hospital freirino
205	mejorar la atención con los adultos mayores.	mejorar atención adulto mayor
206	"gratuidad para adultos mayores """	gratuidad adulto mayor
207	"107	mejor sistema, que no haya que ir a las 05 am porque hay riesgos de asaltos, disminuir los tiempos de espera (horas y operaciones), más médicos."	mejor sistema   they riesgo asalto  disminuir tiempo espera  hora operación   médico
208	"108	""Las esperas son muy largas y a veces uno muere esperando horas"	espera largo vez morir esperar hora
209	discriminación. uno tiene que ir con arapos para que lo atiendan bien.	discriminación  arapo atender bien
210	"Falta vocación, salud publica digna."""	faltar vocación  salud publica digno
211	"109	""atención deficiente en los centros de asistencia"	atención deficiente centro asistencia
212	acceso a los medicamentos	acceso medicamento
213	falta de especialistas	falta especialista
214	"listas de espera"""	lista espera
215	"110	la educación debe ser gratis para todos, con oportunidades equitativas. se debe eliminar los colegios particulares subvencionados y cambiar la malla curricular."	educación gratis  oportunidad equitativo  eliminar colegio particular subvencionado cambiar malla curricular
216	"111	se requiere un aumento en las pensiones para los jubilados actuales; y un cambio en el sistema de pensiones afp,"	requerir aumento pensión jubilado actual  cambio sistema pensión afp
217	"112	""el mal trato y las largas horas de espera en la atención  en el sistema de salud publico"	mal trato largo hora espera atención sistema salud público
218	"-la falta de especialistas """	la falta especialista
219	"113	""-falta de especialistas"	falta especialista
220	-acceder a la opcion de medicamenetos mas baratos	acceder opción medicameneto barato
221	"-atencion mas expedita en las urgencias de hospitales"""	atención expedito urgencia hospital
222	"114	""- mejorar sueldo minimo"	mejorar sueldo mínimo
223	-mejorar sueldo la gente vive mejor	mejorar sueldo gente vivir mejor
224	-500.000 minimo	mínimo
225	"-falta potenciar sindicatos para tener mayor fuerza laboral"""	falto potenciar sindicato mayor fuerza laboral
226	"115	""mejorar el sueldo mínimo"	mejorar sueldo mínimo
227	entre mejores sueldos la gente vive mejor	mejor sueldo gente vivir mejor
228	500.000 mínimo	mínimo
229	falta potenciar sindicato para tener mayor fuerza laboral	falta potenciar sindicato mayor fuerza laboral
231	"116	la mayoría está de acuerdo con el estallido social,pero señalan que respeto mutuo entre la comunidad y las fuerzas armadas ya no existe"	mayoría acuerdo estallido social  señalar respeto mutuo comunidad fuerza armado existir
232	"117	es necesario que la gente se organice, de tal  forma, que pueda levantar demandas en conjunto."	necesario gente organizar  tal forma  levantar demanda conjunto
233	"118	es lo principal por eso debe mejorarse y ser de calidad por que sin buena salud no hacemos nada"	principal mejorar calidad buen salud
234	"119	""los métodos que miden el acceso a ellos."	método medir acceso
235	"escuelas de calidad, que no solo prepare a hijos obreros."""	escuela calidad  sólo preparar hijo obrero
236	"120	""mejorar el sistema de pensiones."	mejorar sistema pensión
237	debería ser un sistema igualitario como el sistema de los uniformados.	sistema igualitario sistema uniformado
238	un sistema más justo.	sistema justo
239	"se modifique el sistema o se elimine. """	modificar sistema eliminar
240	"121	hay mucha gente sin empleo a raiz de los manifestaciones que han partido sus puestos de trabajo y que hoy se encuentran manos atadas"	gente empleo raiz manifestación partir puesto trabajo hoy encontrar mano atar
241	"122	""se debe esperar mucho tiempo para ser atendido por un especialista"	esperar tiempo atender especialista
242	"la atención medica es nefasta en el sistema público no dan soluciones o remedios, solo calmantes momentáneos que no solucionan el problema de fondo y obliga a seguir acudiendo al sistema público."""	atención medico nefasto sistema público dar solución remedio  sólo calmante momentáneo solucionar problema fondo obligar seguir acudir sistema público
243	"123	todos los participantes indican que es urgente poder retomar el orden pública para poder desde la seguridad avanzar en los problemas del país"	participante indicar urgente retomar orden público seguridad avanzar problema país
244	"124	los dineros de las ancas de las afp, no las devuelven, debieran actuar para satisfacer necesidades de salud, ocio y recreación, educación y otras"	dinero anca afp  devolver  debir actuar satisfacer necesidad salud  ocio recreación  educación
245	"125	""hace falta dialogar mas con los directivos"	falta dialogar directivo
246	"el sistema de selección es el que escoge por uno,no somos libres de elegir en que colegio matriculamos a nuestros hijos"""	sistema selección escoger  libre elegir colegio matricular hijo
247	"126	mejorar pensiones de adulto mayor, eliminar las afp o modificar por un sistema que permita que nuestros abuelos tengan una vida digna."	mejorar pensión adulto mayor  eliminar afp modificar sistema permitir abuelo vida digno
248	"127	no hay equidad, afectando mayormente a los adultos mayores. la casta gobernante está mal elegida. crear justicia y aplicar la ley por igual a quien corresponda."	equidad  afectar mayormente adulto mayor  casta gobernante mal elegido  crear justicia aplicar ley igual corresponder
249	"128	""- este problema aqueja a todos los hogares del país, exepto a la clase rica"	problema aqueja hogar país  exepto clase rico
250	"- solo que la clase media puede, pero debe endeudarse"""	sólo clase medio  endeudar
251	"129	se necesita modernizar el sistema de educación, para que éste sea integral, no solo enfocado entregar datos; que sea abierto a la innovación y oportuno."	necesitar modernizar sistema educación  integral  sólo enfocar entregar dato  abrir innovación oportuno
252	"130	la salud es una de los mayores factores que influyen en la calidad de vida. potenciar esta área en todas sus dimensiones es esencial y urgente"	salud mayor factor influir calidad vida  potenciar área dimensión esencial urgente
253	"131	""Porque es mala la salud en Tocopilla, uno se muere esperando."	malo salud tocopilla  morir esperar
254	No hay especialistas, mandan a los pacientes a Antofagasta y se mueren en el viaje.	especialista  mandar paciente antofagasta morir viaje
255	"Estuve esperando 8 años una operación, finalmente tuve que hacerlo por FONASA y sigo pagando"""	esperar  año operación  finalmente fonasa seguir pagar
256	"132	""- el sistema de salud público es muy malo comparado con el sistema privado"	sistema salud público malo comparado sistema privado
257	- se debe reestructurar el sistema de salud	reestructurar sistema salud
258	"- las horas de espera son muy largas"""	hora espera largo
259	"133	que los directores de los hospitales, consultorios sean idoneos y con una real vocacion de servicio y que estos cargos no sean ocupados politicamente"	director hospital  consultorio idoneo real vocacion servicio cargo ocupar politicamente
260	"134	""sistema único, igualitarios para todos."	sistema único  igualitario
261	que no existan horas de espera.	existir hora espera
262	salud gratuita	salud gratuito
263	"medicamentos más económicos."""	medicamento económico
264	"135	es la base para hacer otras cosas. todo parte por la educación. hay negligencia en muchos aspectos."	base cosa  parte educación  negligencia aspecto
265	"136	""calidad y falta de profesionales"	calidad falta profesional
266	desigualdad en la entrega de educación.	desigualdad entrega educación
267	eliminar la segregación.	eliminar segregación
